Gene ID,73_Cntrl_pre,73_Cntrl_post,55_Cntrl_pre,55_Cntrl_post,35_Cntrl_pre,35_Cntrl_post,27_Cntrl_pre,27_Cntrl_post,17_Cntrl_pre,17_Cntrl_post,10_Cntrl_pre,10_Cntrl_post,95_Training_pre,95_Training_post,93_Training_pre,93_Training_post,90_Training_pre,90_Training_post,89_Training_pre,89_Training_post,64_Training_pre,64_Training_post,51_Training_pre,51_Training_post,40_Training_pre,40_Training_post,32_Training_pre,32_Training_post,22_Training_pre,22_Training_post,2_Training_pre,2_Training_post,18_Training_pre,18_Training_post,87_Training&Suplement_pre,87_Training&Suplement_post,71_Training&Suplement_pre,71_Training&Suplement_post,62_Training&Suplement_pre,62_Training&Suplement_post,49_Training&Suplement_pre,49_Training&Suplement_post,4_Training&Suplement_pre,4_Training&Suplement_post
ENSG00000235374,14,7,15,11,7,19,18,6,9,33,7,5,34,9,8,17,22,13,8,21,37,40,42,8,5,9,12,14,15,41,26,25,7,11,13,32,10,7,8,8,13,8,25,14
ENSG00000270112,14,5,5,18,12,17,20,33,9,18,29,15,11,15,24,19,4,8,30,7,19,23,33,11,9,10,12,10,29,11,19,5,14,16,16,13,10,26,14,23,15,7,29,26
ENSG00000270673,13,20,14,10,7,9,14,19,16,19,9,6,27,22,21,13,24,20,20,21,37,53,17,12,12,21,6,17,7,12,9,20,13,12,15,22,11,14,10,12,13,10,18,16
ENSG00000124602,18,10,38,18,11,7,32,20,14,23,12,5,16,17,4,5,18,22,18,16,32,23,40,11,13,18,23,13,19,16,7,14,11,12,16,15,10,16,8,15,15,14,8,21
ENSG00000172986,8,29,7,11,8,18,18,11,7,18,9,15,50,27,16,22,22,13,15,12,42,22,48,24,11,9,5,20,9,27,9,4,11,9,8,10,2,20,7,10,18,25,17,11
ENSG00000267557,18,23,13,7,6,9,8,21,13,15,10,5,15,13,10,22,17,17,12,20,31,29,30,16,10,27,11,21,17,25,13,56,6,6,15,15,14,22,12,18,5,7,11,24
ENSG00000161647,7,13,35,16,6,5,27,13,5,18,9,5,14,21,4,15,7,17,14,10,37,12,29,18,9,42,10,19,18,31,18,7,21,25,13,13,28,16,7,11,12,12,9,38
ENSG00000233818,13,17,11,4,13,13,22,21,12,6,24,8,40,39,4,15,7,1,18,4,45,22,36,20,10,12,13,15,12,34,22,25,17,19,17,17,16,18,3,4,15,8,10,14
ENSG00000260806,13,20,9,9,3,13,13,16,20,13,18,13,18,15,17,25,9,3,11,15,59,43,30,10,19,20,2,7,12,17,10,24,16,16,7,14,6,16,18,24,15,10,14,34
ENSG00000269982,17,11,17,20,10,7,13,16,23,27,14,7,32,17,11,16,16,18,18,24,43,14,25,9,19,25,14,31,11,29,4,12,13,5,10,11,13,17,5,19,16,11,10,16
ENSG00000270041,17,11,11,10,14,14,18,11,12,13,24,7,16,20,17,10,10,15,18,9,52,18,18,11,10,21,9,16,13,29,14,24,21,19,13,17,5,47,11,5,19,16,12,19
ENSG00000137269,7,10,10,4,21,13,29,25,9,25,15,4,19,65,5,15,12,21,9,30,15,9,35,24,22,32,14,11,4,23,16,32,16,3,14,8,14,15,6,12,14,4,10,16
ENSG00000169783,6,12,3,4,7,7,64,19,4,10,7,0,18,109,1,19,9,15,5,29,33,17,15,40,1,50,3,23,9,24,4,9,14,10,6,11,7,26,16,9,10,3,10,19
ENSG00000230102,14,11,0,17,4,7,11,7,31,33,41,6,26,26,16,15,22,17,9,23,19,20,15,10,21,24,22,20,17,14,26,25,9,8,5,6,15,22,9,17,10,1,24,22
ENSG00000174483,15,6,13,16,12,10,19,21,16,33,19,17,13,20,13,28,4,7,17,10,35,30,30,13,11,18,7,16,20,30,19,22,20,16,10,5,11,21,14,14,12,11,4,20
ENSG00000225880,13,16,9,8,6,6,16,9,12,32,21,19,19,33,18,15,16,9,15,16,47,47,27,10,5,30,16,15,8,12,7,18,28,19,14,25,8,11,6,12,17,7,12,9
ENSG00000272084,19,13,4,13,35,12,10,26,14,16,22,12,17,16,14,14,21,18,16,21,21,17,27,16,10,22,14,17,20,25,20,14,12,5,13,23,14,21,18,12,17,9,13,5
